Checking_Amt,Duration,Credit_History,Purpose,Credit_Amt,Savings_Amt,Employement,Installment_Rate,Personal_status, debtors/guarantors,Residence,Property,Age,Install_plans,Housing,No.of_credits,Job_type,No.of_people,Telephone,Foreigner,Credit_Risk
NA,9,critical account,education,936,Quite Rich,Master,4,male,none,2,car or other,52,none,Own,2,skilled employee,1,Yes,Yes,1
little,12,existing credits paid back duly,car (new),1168,little,Professional,4,male,none,3,real estate,27,none,Own,1,unskilled,1,None,Yes,1
NA,27,delay in paying off in the past,business,5117,little,Expert,3,male,none,4,car or other,26,none,Own,2,skilled employee,1,None,Yes,1
little,12,existing credits paid back duly,retraining,902,little,Expert,4,male,none,4,building society savings agreement/ life insurance,21,none,Rent,1,skilled employee,1,None,Yes,2
NA,12,critical account,car (new),1495,little,Master,4,male,none,1,real estate,38,none,Own,2,unskilled,2,None,Yes,1
little,30,critical account,car (used),10623,little,Master,3,male,none,4, unknown / no property,38,none,For Free,3,qualified employee,2,Yes,Yes,1
NA,12,critical account,furniture/equipment,1935,little,Master,4,male,none,4,real estate,43,none,Own,3,skilled employee,1,Yes,Yes,1
Moderate,12,critical account,domestic appliances,1424,little,Expert,4,male,none,3,building society savings agreement/ life insurance,26,none,Own,1,skilled employee,1,None,Yes,1
little,24,existing credits paid back duly,business,6568,little,Professional,2,male,none,2,car or other,21,stores,Own,1,unskilled,1,None,Yes,1
NA,12,existing credits paid back duly,car (used),1413,Rich,Expert,3,male,none,2,building society savings agreement/ life insurance,55,none,Own,1,skilled employee,1,None,No,1
NA,9,critical account,radio/television,3074,NA,Professional,1,male,none,2,real estate,33,none,Own,2,skilled employee,2,None,Yes,1
NA,36,existing credits paid back duly,radio/television,3835,NA,Master,2,female,none,4,real estate,45,none,Own,1,unskilled,1,Yes,Yes,1
little,27,no credits taken,business,5293,little,Unemployed,2,male,none,4,building society savings agreement/ life insurance,50,stores,Own,2,skilled employee,1,Yes,Yes,2
Rich,30,delay in paying off in the past,business,1908,little,Master,4,male,none,4,real estate,66,none,Own,1,qualified employee,1,Yes,Yes,2
NA,36,critical account,radio/television,3342,NA,Master,4,male,none,2,car or other,51,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,6,critical account,retraining,932,NA,Expert,1,female,none,3,building society savings agreement/ life insurance,39,none,Own,2,unskilled,1,None,Yes,1
little,18,no credits taken,business,3104,little,Expert,3,male,none,1,building society savings agreement/ life insurance,31,bank,Own,1,skilled employee,1,Yes,Yes,1
Rich,36,existing credits paid back duly,radio/television,3913,little,Professional,2,male,none,2,real estate,23,none,Own,1,skilled employee,1,Yes,Yes,1
little,24,existing credits paid back duly,furniture/equipment,3021,little,Professional,2,male,none,2,real estate,24,none,Rent,1,unskilled,1,None,Yes,1
NA,10,existing credits paid back duly,car (new),1364,little,Professional,2,female,none,4,car or other,64,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,12,existing credits paid back duly,radio/television,625,little,amateur,4,male,guarantor,1,real estate,26,bank,Own,1,unskilled,1,None,Yes,1
little,12,existing credits paid back duly,education,1200,NA,Professional,4,female,none,4,building society savings agreement/ life insurance,23,bank,Rent,1,skilled employee,1,Yes,Yes,1
NA,12,existing credits paid back duly,radio/television,707,little,Professional,4,male,none,2,real estate,30,bank,Own,2,skilled employee,1,None,Yes,1
NA,24,delay in paying off in the past,business,2978,NA,Professional,4,male,none,4,real estate,32,none,Own,2,skilled employee,2,Yes,Yes,1
NA,15,existing credits paid back duly,car (used),4657,little,Professional,3,male,none,2,car or other,30,none,Own,1,skilled employee,1,Yes,Yes,1
NA,36,no credits taken,repairs,2613,little,Professional,4,male,none,2,car or other,27,none,Own,2,skilled employee,1,None,Yes,1
Moderate,48,existing credits paid back duly,radio/television,10961,Rich,Expert,1,male, co-applicant,2, unknown / no property,27,bank,Own,2,skilled employee,1,Yes,Yes,2
little,12,existing credits paid back duly,furniture/equipment,7865,little,Master,4,male,none,4, unknown / no property,53,none,For Free,1,qualified employee,1,Yes,Yes,2
NA,9,existing credits paid back duly,radio/television,1478,little,Expert,4,male,none,2,car or other,22,none,Own,1,skilled employee,1,None,Yes,2
little,24,existing credits paid back duly,furniture/equipment,3149,little,amateur,4,male,none,1, unknown / no property,22,bank,For Free,1,skilled employee,1,None,Yes,1
Rich,36,existing credits paid back duly,radio/television,4210,little,Professional,4,male,none,2,car or other,26,none,Own,1,skilled employee,1,None,Yes,2
NA,9,existing credits paid back duly,car (new),2507,Quite Rich,Master,2,male,none,4, unknown / no property,51,none,For Free,1,unskilled,1,None,Yes,1
NA,12,existing credits paid back duly,radio/television,2141,Moderate,Expert,3,male,none,1, unknown / no property,35,none,Own,1,skilled employee,1,None,Yes,1
Moderate,18,existing credits paid back duly,radio/television,866,little,Professional,4,male,guarantor,2,real estate,25,none,Own,1,unskilled,1,None,Yes,1
NA,4,critical account,radio/television,1544,little,Expert,2,male,none,1,real estate,42,none,Own,3,unskilled,2,None,Yes,1
little,24,existing credits paid back duly,radio/television,1823,little,Unemployed,4,male,none,2,car or other,30,stores,Own,1,qualified employee,2,None,Yes,2
Moderate,6,existing credits paid back duly,car (new),14555,NA,Unemployed,1,male,none,2,building society savings agreement/ life insurance,23,none,Own,1,unemployed,1,Yes,Yes,2
Moderate,21,existing credits paid back duly,business,2767,Moderate,Master,4,male,none,2,car or other,61,bank,Rent,2,unskilled,1,None,Yes,2
NA,12,critical account,radio/television,1291,little,Professional,4,female,none,2,building society savings agreement/ life insurance,35,none,Own,2,skilled employee,1,None,Yes,1
little,30,existing credits paid back duly,radio/television,2522,little,Master,1,male,guarantor,3,building society savings agreement/ life insurance,39,none,Own,1,skilled employee,2,None,Yes,1
little,24,existing credits paid back duly,car (new),915,NA,Master,4,female,none,2,car or other,29,bank,Own,1,skilled employee,1,None,Yes,2
NA,6,existing credits paid back duly,radio/television,1595,little,Expert,3,male,none,2,building society savings agreement/ life insurance,51,none,Own,1,skilled employee,2,None,Yes,1
little,48,no credits taken,car (used),4605,little,Master,3,male,none,4, unknown / no property,24,none,For Free,2,skilled employee,2,None,Yes,2
NA,12,critical account,business,1185,little,Professional,3,female,none,2,real estate,27,none,Own,2,skilled employee,1,None,Yes,1
NA,12,all credits paid back duly,retraining,3447,Quite Rich,Professional,4,female,none,3,real estate,35,none,Own,1,unskilled,2,None,Yes,1
NA,24,existing credits paid back duly,business,1258,little,Expert,4,male,none,1,real estate,25,none,Own,1,skilled employee,1,Yes,Yes,1
NA,12,critical account,radio/television,717,little,Master,4,male,none,4,real estate,52,none,Own,3,skilled employee,1,None,Yes,1
NA,6,no credits taken,car (new),1204,Moderate,Professional,4,male,none,1, unknown / no property,35,bank,Rent,1,skilled employee,1,None,No,1
Rich,24,existing credits paid back duly,furniture/equipment,1925,little,Professional,2,male,none,2,real estate,26,none,Own,1,skilled employee,1,None,Yes,1
NA,18,existing credits paid back duly,radio/television,433,little,Unemployed,3,female, co-applicant,4,real estate,22,none,Rent,1,skilled employee,1,None,Yes,2
little,6,critical account,car (new),666,Rich,Expert,3,female,none,4,real estate,39,none,Own,2,unskilled,1,Yes,Yes,1
Rich,12,existing credits paid back duly,furniture/equipment,2251,little,Professional,1,female,none,2,car or other,46,none,Own,1,unskilled,1,None,Yes,1
Moderate,30,existing credits paid back duly,car (new),2150,little,Professional,4,female,guarantor,2, unknown / no property,24,bank,Own,1,skilled employee,1,None,Yes,2
NA,24,delay in paying off in the past,furniture/equipment,4151,Moderate,Professional,2,male,none,3,building society savings agreement/ life insurance,35,none,Own,2,skilled employee,1,None,Yes,1
Moderate,9,existing credits paid back duly,furniture/equipment,2030,NA,Expert,2,male,none,1,car or other,24,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,60,delay in paying off in the past,radio/television,7418,NA,Professional,1,male,none,1,real estate,27,none,Own,1,unskilled,1,None,Yes,1
NA,24,critical account,radio/television,2684,little,Professional,4,male,none,2,real estate,35,none,Own,2,unskilled,1,None,Yes,1
little,12,all credits paid back duly,radio/television,2149,little,Professional,4,male,none,1, unknown / no property,29,none,For Free,1,skilled employee,1,None,Yes,2
NA,15,existing credits paid back duly,car (used),3812,Moderate,amateur,1,female,none,4,car or other,23,none,Own,1,skilled employee,1,Yes,Yes,1
NA,11,critical account,radio/television,1154,Moderate,Unemployed,4,female,none,4,real estate,57,none,Own,3,unskilled,1,None,Yes,1
little,12,existing credits paid back duly,furniture/equipment,1657,little,Professional,2,male,none,2,real estate,27,none,Own,1,skilled employee,1,None,Yes,1
little,24,existing credits paid back duly,radio/television,1603,little,Master,4,female,none,4,car or other,55,none,Own,1,skilled employee,1,None,Yes,1
little,18,critical account,car (new),5302,little,Master,2,male,none,4, unknown / no property,36,none,For Free,3,qualified employee,1,Yes,Yes,1
NA,12,critical account,education,2748,little,Master,2,female,none,4, unknown / no property,57,bank,For Free,3,unskilled,1,None,Yes,1
NA,10,critical account,car (new),1231,little,Master,3,male,none,4,real estate,32,none,Own,2,unskilled,2,None,No,1
Moderate,15,existing credits paid back duly,radio/television,802,little,Master,4,male,none,3,car or other,37,none,Own,1,skilled employee,2,None,Yes,2
NA,36,critical account,business,6304,NA,Master,4,male,none,4,real estate,36,none,Own,2,skilled employee,1,None,Yes,1
NA,24,existing credits paid back duly,radio/television,1533,little,amateur,4,female,none,3,car or other,38,stores,Own,1,skilled employee,1,Yes,Yes,1
little,14,existing credits paid back duly,car (new),8978,little,Master,1,male,none,4,building society savings agreement/ life insurance,45,none,Own,1,qualified employee,1,Yes,No,2
NA,24,existing credits paid back duly,radio/television,999,NA,Master,4,male,none,2,car or other,25,none,Own,2,skilled employee,1,None,Yes,1
NA,18,existing credits paid back duly,car (new),2662,NA,Expert,4,male,none,3,building society savings agreement/ life insurance,32,none,Own,1,skilled employee,1,None,No,1
NA,12,critical account,furniture/equipment,1402,Quite Rich,Expert,3,female,none,4,car or other,37,none,Rent,1,skilled employee,1,Yes,Yes,1
Moderate,48,all credits paid back duly,car (new),12169,NA,Unemployed,4,male, co-applicant,4, unknown / no property,36,none,For Free,1,qualified employee,1,Yes,Yes,1
Moderate,48,existing credits paid back duly,radio/television,3060,little,Expert,4,male,none,4,real estate,28,none,Own,2,skilled employee,1,None,Yes,2
little,30,existing credits paid back duly,repairs,11998,little,amateur,1,male,none,1, unknown / no property,34,none,Own,1,unskilled,1,Yes,Yes,2
NA,9,existing credits paid back duly,radio/television,2697,little,Professional,1,male,none,2,real estate,32,none,Own,1,skilled employee,2,None,Yes,1
NA,18,critical account,radio/television,2404,little,Professional,2,female,none,2,car or other,26,none,Own,2,skilled employee,1,None,Yes,1
little,12,existing credits paid back duly,furniture/equipment,1262,NA,Master,2,male,none,4,building society savings agreement/ life insurance,49,none,Own,1,unskilled,1,Yes,Yes,1
NA,6,existing credits paid back duly,furniture/equipment,4611,little,amateur,1,female,none,4,building society savings agreement/ life insurance,32,none,Own,1,skilled employee,1,None,Yes,2
NA,24,existing credits paid back duly,radio/television,1901,Moderate,Professional,4,male,none,4,car or other,29,none,Rent,1,qualified employee,1,Yes,Yes,1
NA,15,critical account,car (used),3368,Rich,Master,3,male,none,4, unknown / no property,23,none,Rent,2,skilled employee,1,Yes,Yes,1
NA,12,existing credits paid back duly,furniture/equipment,1574,little,Professional,4,male,none,2,real estate,50,none,Own,1,skilled employee,1,None,Yes,1
Rich,18,all credits paid back duly,radio/television,1445,NA,Expert,4,male,none,4,car or other,49,bank,Own,1,unskilled,1,None,Yes,1
NA,15,critical account,furniture/equipment,1520,NA,Master,4,male,none,4,building society savings agreement/ life insurance,63,none,Own,1,skilled employee,1,None,Yes,1
Moderate,24,critical account,car (new),3878,Moderate,amateur,4,male,none,2,car or other,37,none,Own,1,skilled employee,1,Yes,Yes,1
little,47,existing credits paid back duly,car (new),10722,little,amateur,1,female,none,1,real estate,35,none,Own,1,unskilled,1,Yes,Yes,1
little,48,existing credits paid back duly,car (used),4788,little,Expert,4,male,none,3,building society savings agreement/ life insurance,26,none,Own,1,skilled employee,2,None,Yes,1
Moderate,48,delay in paying off in the past,Others,7582,Moderate,Unemployed,2,male,none,4, unknown / no property,31,none,For Free,1,qualified employee,1,Yes,Yes,1
Moderate,12,existing credits paid back duly,radio/television,1092,little,Professional,4,female,guarantor,4,real estate,49,none,Own,2,skilled employee,1,Yes,Yes,1
little,24,delay in paying off in the past,radio/television,1024,little,amateur,4,male,none,4,real estate,48,stores,Own,1,skilled employee,1,None,Yes,2
NA,12,existing credits paid back duly,business,1076,little,Professional,2,male,none,2,real estate,26,none,Own,1,skilled employee,1,Yes,No,1
Moderate,36,existing credits paid back duly,car (used),9398,little,amateur,1,male,none,4,car or other,28,none,Rent,1,qualified employee,1,Yes,Yes,2
little,24,critical account,car (used),6419,little,Master,2,female,none,4, unknown / no property,44,none,For Free,2,qualified employee,2,Yes,Yes,1
Rich,42,critical account,car (used),4796,little,Master,4,male,none,4, unknown / no property,56,none,For Free,1,skilled employee,1,None,Yes,1
NA,48,critical account,business,7629,NA,Master,4,male,none,2,car or other,46,bank,Own,2,qualified employee,2,None,Yes,1
Moderate,48,existing credits paid back duly,furniture/equipment,9960,little,amateur,1,female,none,2,car or other,26,none,Own,1,skilled employee,1,Yes,Yes,2
NA,12,existing credits paid back duly,car (used),4675,NA,amateur,1,female,none,4,car or other,20,none,Rent,1,skilled employee,1,None,Yes,1
NA,10,existing credits paid back duly,car (new),1287,NA,Master,4,male, co-applicant,2,building society savings agreement/ life insurance,45,none,Own,1,unskilled,1,None,No,1
NA,18,existing credits paid back duly,furniture/equipment,2515,little,Professional,3,male,none,4,real estate,43,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,21,critical account,furniture/equipment,2745,Rich,Expert,3,male,none,2,car or other,32,none,Own,2,skilled employee,1,Yes,Yes,1
NA,6,existing credits paid back duly,car (new),672,little,Unemployed,1,female,none,4,real estate,54,none,Own,1,unemployed,1,Yes,Yes,1
Moderate,36,no credits taken,radio/television,3804,little,Professional,4,female,none,1,car or other,42,none,Own,1,skilled employee,1,Yes,Yes,2
Rich,24,critical account,car (new),1344,NA,Expert,4,male,none,2,real estate,37,bank,Own,2,unskilled,2,None,Yes,2
little,10,critical account,car (new),1038,little,Expert,4,male, co-applicant,3,building society savings agreement/ life insurance,49,none,Own,2,skilled employee,1,Yes,Yes,1
NA,48,critical account,car (new),10127,Quite Rich,Professional,2,male,none,2, unknown / no property,44,bank,For Free,1,skilled employee,1,None,Yes,2
NA,6,existing credits paid back duly,furniture/equipment,1543,Rich,Professional,4,male,none,2,real estate,33,none,Own,1,skilled employee,1,None,Yes,1
NA,30,existing credits paid back duly,car (used),4811,NA,Expert,2,female,none,4,building society savings agreement/ life insurance,24,stores,Rent,1,unskilled,1,None,Yes,1
little,12,existing credits paid back duly,radio/television,727,Moderate,amateur,4,male,none,3, unknown / no property,33,none,Own,1,unskilled,1,Yes,Yes,2
Moderate,8,existing credits paid back duly,furniture/equipment,1237,little,Professional,3,female,none,4,real estate,24,none,Own,1,skilled employee,1,None,Yes,2
Moderate,9,existing credits paid back duly,car (new),276,little,Professional,4,male,none,4,real estate,22,none,Rent,1,unskilled,1,None,Yes,1
Moderate,48,existing credits paid back duly,Others,5381,NA,Unemployed,3,male,none,4, unknown / no property,40,bank,For Free,1,unemployed,1,Yes,Yes,1
NA,24,existing credits paid back duly,furniture/equipment,5511,Moderate,Professional,4,male,none,1,car or other,25,stores,Own,1,skilled employee,1,None,Yes,1
Rich,24,existing credits paid back duly,furniture/equipment,3749,little,amateur,2,female,none,4,car or other,26,none,Own,1,skilled employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,car (new),685,little,Expert,2,male,none,3,car or other,25,bank,Own,1,unskilled,1,None,Yes,2
Rich,4,existing credits paid back duly,car (new),1494,NA,amateur,1,male,none,2,real estate,29,none,Own,1,unskilled,2,None,No,1
little,36,all credits paid back duly,furniture/equipment,2746,little,Master,4,male,none,4,car or other,31,bank,Own,1,skilled employee,1,None,Yes,2
little,12,existing credits paid back duly,furniture/equipment,708,little,Professional,2,male,guarantor,3,building society savings agreement/ life insurance,38,none,Own,1,unskilled,2,None,Yes,1
Moderate,24,existing credits paid back duly,furniture/equipment,4351,NA,Professional,1,female,none,4,building society savings agreement/ life insurance,48,none,Own,1,unskilled,1,Yes,Yes,1
NA,12,critical account,education,701,little,Professional,4,male,none,2,car or other,32,none,Own,2,skilled employee,1,None,Yes,1
little,15,delay in paying off in the past,furniture/equipment,3643,little,Master,1,female,none,4,building society savings agreement/ life insurance,27,none,Own,2,unskilled,1,None,Yes,1
Moderate,30,critical account,car (new),4249,little,Unemployed,4,male,none,2,car or other,28,none,Own,2,qualified employee,1,None,Yes,2
little,24,existing credits paid back duly,radio/television,1938,little,amateur,4,male,none,3,building society savings agreement/ life insurance,32,none,Own,1,skilled employee,1,None,Yes,2
little,24,existing credits paid back duly,car (used),2910,little,Expert,2,male,none,1, unknown / no property,34,none,For Free,1,qualified employee,1,Yes,Yes,1
little,18,existing credits paid back duly,furniture/equipment,2659,Rich,Professional,4,male,none,2,car or other,28,none,Own,1,skilled employee,1,None,Yes,1
NA,18,critical account,car (new),1028,little,Professional,4,female,none,3,real estate,36,none,Own,2,skilled employee,1,None,Yes,1
little,8,critical account,car (new),3398,little,Expert,1,male,none,4,real estate,39,none,Own,2,unskilled,1,None,No,1
NA,12,critical account,furniture/equipment,5801,NA,Master,2,male,none,4,building society savings agreement/ life insurance,49,none,Rent,1,skilled employee,1,Yes,Yes,1
NA,24,existing credits paid back duly,car (new),1525,Rich,Expert,4,female,none,3,car or other,34,none,Own,1,skilled employee,2,Yes,Yes,1
Rich,36,existing credits paid back duly,radio/television,4473,little,Master,4,male,none,2,car or other,31,none,Own,1,skilled employee,1,None,Yes,1
Moderate,6,existing credits paid back duly,radio/television,1068,little,Master,4,male,none,4,car or other,28,none,Own,1,skilled employee,2,None,Yes,1
little,24,critical account,car (used),6615,little,Unemployed,2,male,none,4, unknown / no property,75,none,For Free,2,qualified employee,1,Yes,Yes,1
NA,18,critical account,education,1864,Moderate,Professional,4,female,none,2,real estate,30,none,Own,2,skilled employee,1,None,Yes,2
Moderate,60,existing credits paid back duly,car (new),7408,Moderate,amateur,4,female,none,2,building society savings agreement/ life insurance,24,none,Own,1,qualified employee,1,None,Yes,2
NA,48,critical account,car (used),11590,Moderate,Professional,2,female,none,4,car or other,24,bank,Rent,2,unskilled,1,None,Yes,2
little,24,no credits taken,furniture/equipment,4110,little,Master,3,male,none,4, unknown / no property,23,bank,Rent,2,skilled employee,2,None,Yes,2
little,6,critical account,furniture/equipment,3384,little,Professional,1,male,none,4,real estate,44,none,Rent,1,qualified employee,1,Yes,Yes,2
Moderate,13,existing credits paid back duly,radio/television,2101,little,amateur,2,female,guarantor,4,building society savings agreement/ life insurance,23,none,Own,1,unskilled,1,None,Yes,1
little,15,existing credits paid back duly,domestic appliances,1275,NA,Professional,4,female,none,2,car or other,24,none,Rent,1,skilled employee,1,None,Yes,2
little,24,existing credits paid back duly,furniture/equipment,4169,little,Professional,4,male,none,4,building society savings agreement/ life insurance,28,none,Own,1,skilled employee,1,None,Yes,1
Moderate,10,existing credits paid back duly,furniture/equipment,1521,little,Professional,4,male,none,2,car or other,31,none,Own,1,unskilled,1,None,Yes,1
Moderate,24,critical account,education,5743,little,amateur,2,female,none,4, unknown / no property,24,none,For Free,2,skilled employee,1,Yes,Yes,1
little,21,existing credits paid back duly,furniture/equipment,3599,little,Expert,1,female,none,4,car or other,26,none,Rent,1,unskilled,1,None,Yes,1
Moderate,18,existing credits paid back duly,radio/television,3213,Quite Rich,amateur,1,male,none,3,real estate,25,none,Rent,1,skilled employee,1,None,Yes,1
Moderate,18,existing credits paid back duly,business,4439,little,Master,1,male, co-applicant,1,real estate,33,bank,Own,1,qualified employee,1,Yes,Yes,1
Rich,10,existing credits paid back duly,car (new),3949,little,amateur,1,male,guarantor,1,building society savings agreement/ life insurance,37,none,Own,1,unskilled,2,None,Yes,1
NA,15,critical account,radio/television,1459,little,Professional,4,female,none,2,car or other,43,none,Own,1,unskilled,1,None,Yes,1
Moderate,13,critical account,radio/television,882,little,amateur,4,male,guarantor,4,real estate,23,none,Own,2,skilled employee,1,None,Yes,1
Moderate,24,existing credits paid back duly,radio/television,3758,Quite Rich,Unemployed,1,female,none,4, unknown / no property,23,none,Rent,1,unemployed,1,None,Yes,1
NA,6,delay in paying off in the past,business,1743,Moderate,Professional,1,male,none,2,real estate,34,none,Own,2,unskilled,1,None,Yes,1
Moderate,9,critical account,education,1136,Rich,Master,4,male,none,3, unknown / no property,32,none,For Free,2,skilled employee,2,None,Yes,2
NA,9,existing credits paid back duly,domestic appliances,1236,little,amateur,1,female,none,4,real estate,23,none,Rent,1,skilled employee,1,Yes,Yes,1
Moderate,9,existing credits paid back duly,furniture/equipment,959,little,Professional,1,female,none,2,car or other,29,none,Own,1,skilled employee,1,None,No,2
NA,18,critical account,car (used),3229,NA,Unemployed,2,male,none,4, unknown / no property,38,none,Own,1,qualified employee,1,Yes,Yes,1
little,12,no credits taken,radio/television,6199,little,Professional,4,male,none,2,building society savings agreement/ life insurance,28,none,Rent,2,skilled employee,1,Yes,Yes,2
NA,10,existing credits paid back duly,education,727,Quite Rich,Master,4,male,none,4, unknown / no property,46,none,For Free,1,skilled employee,1,Yes,Yes,1
Moderate,24,existing credits paid back duly,car (new),1246,little,amateur,4,male,none,2,real estate,23,stores,Own,1,unskilled,1,None,Yes,2
NA,12,critical account,radio/television,2331,NA,Master,1,male, co-applicant,4,real estate,49,none,Own,1,skilled employee,1,Yes,Yes,1
NA,36,delay in paying off in the past,radio/television,4463,little,Professional,4,male,none,2,car or other,26,none,Own,2,qualified employee,1,Yes,Yes,2
NA,12,existing credits paid back duly,radio/television,776,little,Professional,4,male,none,2,real estate,28,none,Own,1,skilled employee,1,None,Yes,1
little,30,existing credits paid back duly,furniture/equipment,2406,little,Expert,4,female,none,4,real estate,23,none,Rent,1,skilled employee,1,None,Yes,2
Moderate,18,existing credits paid back duly,education,1239,NA,Professional,4,male,none,4, unknown / no property,61,none,For Free,1,skilled employee,1,None,Yes,1
Rich,12,existing credits paid back duly,radio/television,3399,NA,Master,2,male,none,3,car or other,37,none,Own,1,qualified employee,1,None,Yes,1
Rich,12,delay in paying off in the past,car (new),2247,little,Professional,2,female,none,2,car or other,36,stores,Own,2,skilled employee,1,Yes,Yes,1
NA,6,existing credits paid back duly,furniture/equipment,1766,little,Professional,1,male,none,2,building society savings agreement/ life insurance,21,none,Rent,1,skilled employee,1,None,Yes,1
little,18,existing credits paid back duly,furniture/equipment,2473,little,Unemployed,4,male,none,1,car or other,25,none,Own,1,unemployed,1,None,Yes,2
NA,12,existing credits paid back duly,business,1542,little,Expert,2,male,none,4,car or other,36,none,Own,1,skilled employee,1,Yes,Yes,1
NA,18,critical account,car (used),3850,little,Expert,3,male,none,1,car or other,27,none,Own,2,skilled employee,1,None,Yes,1
little,18,existing credits paid back duly,furniture/equipment,3650,little,amateur,1,female,none,4,car or other,22,none,Rent,1,skilled employee,1,None,Yes,1
little,36,existing credits paid back duly,furniture/equipment,3446,little,Master,4,male,none,2,car or other,42,none,Own,1,skilled employee,2,None,Yes,2
Moderate,18,existing credits paid back duly,furniture/equipment,3001,little,Expert,2,female,none,4,real estate,40,none,Rent,1,skilled employee,1,None,Yes,1
NA,36,existing credits paid back duly,car (new),3079,NA,Professional,4,male,none,4,real estate,36,none,Own,1,skilled employee,1,None,Yes,1
NA,18,critical account,radio/television,6070,little,Master,3,male,none,4,car or other,33,none,Own,2,skilled employee,1,Yes,Yes,1
NA,10,critical account,furniture/equipment,2146,little,amateur,1,female,none,3,real estate,23,none,Rent,2,skilled employee,1,None,Yes,1
NA,60,critical account,car (new),13756,NA,Master,2,male,none,4, unknown / no property,63,bank,For Free,1,qualified employee,1,Yes,Yes,1
Moderate,60,all credits paid back duly,Others,14782,Moderate,Master,3,female,none,4, unknown / no property,60,bank,For Free,2,qualified employee,1,Yes,Yes,2
little,48,all credits paid back duly,business,7685,little,Expert,2,female,guarantor,4,car or other,37,none,Rent,1,skilled employee,1,None,Yes,2
NA,18,delay in paying off in the past,radio/television,2320,little,Unemployed,2,male,none,3,real estate,34,none,Own,2,skilled employee,1,None,Yes,1
NA,7,delay in paying off in the past,radio/television,846,NA,Master,3,male,none,4, unknown / no property,36,none,For Free,1,skilled employee,1,None,Yes,1
Moderate,36,existing credits paid back duly,car (new),14318,little,Master,4,male,none,2, unknown / no property,57,none,For Free,1,qualified employee,1,Yes,Yes,2
NA,6,critical account,car (new),362,Moderate,Professional,4,female,none,4,car or other,52,none,Own,2,unskilled,1,None,Yes,1
little,20,existing credits paid back duly,furniture/equipment,2212,NA,Expert,4,male,none,4,car or other,39,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,18,existing credits paid back duly,car (used),12976,little,Unemployed,3,female,none,4, unknown / no property,38,none,For Free,1,qualified employee,1,Yes,Yes,2
NA,22,existing credits paid back duly,car (new),1283,NA,Expert,4,female,none,4,building society savings agreement/ life insurance,25,none,Rent,1,skilled employee,1,None,Yes,1
Rich,12,existing credits paid back duly,car (new),1330,little,amateur,4,male,none,1,real estate,26,none,Own,1,skilled employee,1,None,Yes,1
NA,30,delay in paying off in the past,business,4272,Moderate,Professional,2,male,none,2,building society savings agreement/ life insurance,26,none,Own,2,unskilled,1,None,Yes,1
NA,18,critical account,radio/television,2238,little,Professional,2,female,none,1,car or other,25,none,Own,2,skilled employee,1,None,Yes,1
NA,18,existing credits paid back duly,radio/television,1126,NA,amateur,4,female,none,2,real estate,21,none,Rent,1,skilled employee,1,Yes,Yes,1
Moderate,18,critical account,furniture/equipment,7374,little,Unemployed,4,male,none,4,building society savings agreement/ life insurance,40,stores,Own,2,qualified employee,1,Yes,Yes,1
Moderate,15,critical account,business,2326,Quite Rich,Professional,2,male,none,4,car or other,27,bank,Own,1,skilled employee,1,None,Yes,1
NA,9,existing credits paid back duly,business,1449,little,Expert,3,female,none,2,car or other,27,none,Own,2,skilled employee,1,None,Yes,1
NA,18,existing credits paid back duly,car (new),1820,little,Professional,2,male,none,2,building society savings agreement/ life insurance,30,none,Own,1,qualified employee,1,Yes,Yes,1
Moderate,12,existing credits paid back duly,furniture/equipment,983,Rich,amateur,1,female,none,4,real estate,19,none,Rent,1,unskilled,1,None,Yes,1
little,36,existing credits paid back duly,car (new),3249,little,Expert,2,male,none,4, unknown / no property,39,bank,For Free,1,qualified employee,2,Yes,Yes,1
little,6,critical account,radio/television,1957,little,Expert,1,female,none,4,car or other,31,none,Own,1,skilled employee,1,None,Yes,1
NA,9,critical account,furniture/equipment,2406,little,Unemployed,2,male,none,3,car or other,31,none,Own,1,qualified employee,1,None,Yes,1
Moderate,39,delay in paying off in the past,education,11760,Moderate,Expert,2,male,none,3, unknown / no property,32,none,Rent,1,skilled employee,1,Yes,Yes,1
little,12,existing credits paid back duly,furniture/equipment,2578,little,Unemployed,3,female,none,4, unknown / no property,55,none,For Free,1,qualified employee,1,None,Yes,1
little,36,critical account,furniture/equipment,2348,little,Professional,3,male,none,2,building society savings agreement/ life insurance,46,none,Own,2,skilled employee,1,Yes,Yes,1
Moderate,12,existing credits paid back duly,car (new),1223,little,Master,1,male,none,1,real estate,46,none,Rent,2,skilled employee,1,None,Yes,2
NA,24,critical account,radio/television,1516,Rich,Professional,4,female,none,1,real estate,43,none,Own,2,unskilled,1,None,Yes,1
NA,18,existing credits paid back duly,radio/television,1473,little,amateur,3,male,none,4,real estate,39,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,18,critical account,business,1887,NA,Professional,4,male,none,4,real estate,28,bank,Own,2,skilled employee,1,None,Yes,1
